filename,issue,usable,comments
2-14640450-3.html.csv,none,TRUE,
2-10289926-9.html.csv,AC,TRUE,"only additional empty ""Note"" column"
2-10621888-3.html.csv,none,TRUE,
2-1332332-1.html.csv,none,TRUE,
2-10809351-5.html.csv,none,TRUE,
2-14565148-5.html.csv,none,TRUE,
2-17306260-1.html.csv,BM,FALSE,
2-11961051-5.html.csv,AC,TRUE,
2-178242-2.html.csv,none,TRUE,
2-10776330-7.html.csv,none,TRUE,
2-17162239-5.html.csv,BM,TRUE,"a mistake that can be easily fixed. the math symbol in html should be ""+"" instead of ""-"" like in gold. probably, it was corrected later but we scraped the older version with a mistake."
2-1218008-1.html.csv,none,TRUE,
1-2897457-4.html.csv,none,TRUE,"very minor mismaches in the acronymns in ""College/junior/club team"" in a few cases"
2-15100419-7.html.csv,none,TRUE,
2-11902366-4.html.csv,AC,TRUE,
2-1210297-2.html.csv,AC,TRUE,
2-17344651-6.html.csv,none,TRUE,
2-1803594-1.html.csv,FM,FALSE,
2-10966872-2.html.csv,BM,FALSE,years are missing in the first two rows and row before the last has a different director name and record set.
2-11963209-7.html.csv,AC,TRUE,
2-10282772-2.html.csv,AC,TRUE,
2-1563605-1.html.csv,FM,FALSE,
2-10790651-10.html.csv,none,TRUE,
1-23286158-7.html.csv,AR,TRUE,
2-11739153-7.html.csv,AC,TRUE,
2-16002638-1.html.csv,AC,TRUE,and additinal rows
2-16386910-4.html.csv,AC,TRUE,
2-10776868-9.html.csv,none,TRUE,
2-11945691-3.html.csv,AC,TRUE,
2-18569021-5.html.csv,AC,TRUE,
2-17511295-5.html.csv,AC,TRUE,
2-11035487-1.html.csv,none,TRUE,
2-18847736-2.html.csv,none,TRUE,
2-10537807-4.html.csv,AC,TRUE,
2-10932739-2.html.csv,none,TRUE,"""Alpha Centauri Bb; unconfirmed and
disputed"" part after the ; is not in gold. since it is very minor, marked as no mismach"
2-12207924-4.html.csv,AC,TRUE,
2-18496100-2.html.csv,none,TRUE,
1-25438110-5.html.csv,AR,TRUE,
2-10775890-10.html.csv,none,TRUE,
2-10869646-12.html.csv,none,TRUE,
2-14611590-4.html.csv,none,TRUE,
2-12320552-17.html.csv,none,TRUE,
2-10897046-5.html.csv,AC,TRUE,
2-12206617-3.html.csv,AC,TRUE,
2-12206178-4.html.csv,AC,TRUE,
2-15346009-4.html.csv,none,TRUE,
2-17557270-1.html.csv,FM,FALSE,
2-18060467-5.html.csv,BM,TRUE,"a mistake that can be easily fixed. the math symbol in html should be ""+"" instead of ""-"" like in gold. probably, it was corrected later but we scraped the older version with a mistake."
2-10774891-12.html.csv,none,TRUE,
2-17344651-5.html.csv,none,TRUE,
2-13552019-7.html.csv,AC,TRUE,
2-180200-1.html.csv,none,TRUE,
2-15122771-2.html.csv,none,TRUE,
2-13908184-17.html.csv,BM,TRUE,the name of the last column is a bit different and there are a couple of slight differences in the values. But they are not crucial. We might it exclude it. For now marked as useful.
2-11603116-4.html.csv,none,TRUE,
2-12449312-2.html.csv,FM,FALSE,
2-11960196-3.html.csv,none,TRUE,
2-10650028-1.html.csv,FM,FALSE,
2-15349635-1.html.csv,AC,TRUE,
2-15334146-1.html.csv,AC,TRUE,
2-1725690-2.html.csv,AR,TRUE,
2-1438835-1.html.csv,BM,FALSE,
2-17747000-1.html.csv,AC,TRUE,
2-17990473-1.html.csv,AC,TRUE,
2-1127788-3.html.csv,AR,TRUE,and columns
2-12076689-7.html.csv,AC,TRUE,
2-18493407-1.html.csv,AC,TRUE,
2-17231086-6.html.csv,BM,TRUE,"the ""-"" sign whil in gold ""+"", could be easily fixed. also there are additional columns"
2-12193971-2.html.csv,FM,FALSE,
2-14851245-3.html.csv,AC,TRUE,
2-13312898-1.html.csv,none,TRUE,
2-11677760-22.html.csv,none,TRUE,
2-11677100-6.html.csv,none,TRUE,
2-15764352-1.html.csv,none,TRUE,
2-1834853-3.html.csv,AC,TRUE,
2-1727962-5.html.csv,AC,TRUE,
2-11847348-3.html.csv,none,TRUE,
2-1137274-4.html.csv,AC,TRUE,
2-10789881-4.html.csv,none,TRUE,
2-15331382-2.html.csv,AC,TRUE,
2-1257226-3.html.csv,BM,FALSE,
2-1035855-1.html.csv,AC,TRUE,
2-15621965-7.html.csv,AR,TRUE,and columns
2-10776330-18.html.csv,none,TRUE,
2-1123324-2.html.csv,AC,TRUE,
2-17445415-2.html.csv,AC,TRUE,
2-18156552-1.html.csv,BM,FALSE,
2-10790397-7.html.csv,none,TRUE,
2-10809351-8.html.csv,none,TRUE,
2-15278857-2.html.csv,AC,TRUE,
2-10631744-2.html.csv,BM,FALSE,
1-2850912-7.html.csv,none,TRUE,
1-27744844-7.html.csv,AR,TRUE,
2-11233501-3.html.csv,BM,FALSE,
2-12206243-10.html.csv,AC,TRUE,
1-27784580-1.html.csv,AR,TRUE,
2-14195712-1.html.csv,AC,TRUE,
2-18314300-1.html.csv,AC,TRUE,
2-12269075-1.html.csv,none,TRUE,
2-10809823-14.html.csv,none,TRUE,
2-11735769-3.html.csv,AC,TRUE,
2-15201858-1.html.csv,none,TRUE,
2-12058560-1.html.csv,none,TRUE,
2-18726561-5.html.csv,none,TRUE,
2-16474033-9.html.csv,none,TRUE,
2-11312764-4.html.csv,AC,TRUE,
2-17200019-10.html.csv,AC,TRUE,
2-1122933-2.html.csv,AC,TRUE,
1-2602958-4.html.csv,AR,TRUE,header names are a bit different
2-12531523-1.html.csv,AC,TRUE,
2-18593648-14.html.csv,none,TRUE,
2-1762882-13.html.csv,AC,TRUE,
2-12076353-1.html.csv,none,TRUE,
2-14101654-10.html.csv,AC,TRUE,
2-1377586-1.html.csv,AC,TRUE,
2-10807673-8.html.csv,none,TRUE,
2-10869646-7.html.csv,none,TRUE,
2-18154969-1.html.csv,none,TRUE,
2-15826161-2.html.csv,AR,TRUE,
2-18424482-2.html.csv,none,TRUE,
2-1140097-1.html.csv,BM,TRUE,"there is a single mismatch in name in ""circuit"" in the last entry. the name is not used in the annotations"
2-11713303-2.html.csv,none,TRUE,
2-15486062-1.html.csv,AC,TRUE,
2-11667521-17.html.csv,none,TRUE,
2-16953587-4.html.csv,BM,FALSE,
2-1137694-3.html.csv,none,TRUE,
2-10753786-4.html.csv,FM,FALSE,
2-16474033-6.html.csv,AC,TRUE,
2-17634218-19.html.csv,BM,FALSE,
2-1224141-2.html.csv,FM,FALSE,
2-10806592-9.html.csv,none,TRUE,
2-15184672-3.html.csv,AC,TRUE,and TVA Nouvelles instead of news under 10:00. but this ent is not used in annotations
1-27744976-11.html.csv,AR,TRUE,
2-18844321-1.html.csv,AC,TRUE,
2-1408278-5.html.csv,none,TRUE,a bit different header names
2-11266821-1.html.csv,none,TRUE,
2-16981551-2.html.csv,BM,FALSE,day is missing the dates and also additional columns
2-14562754-1.html.csv,AC,TRUE,
2-17110962-1.html.csv,AC,TRUE,
2-10823719-14.html.csv,none,TRUE,
1-254234-1.html.csv,FM,FALSE,"additional rows, slightly different column names and slightly different contents"
2-17383465-1.html.csv,AC,TRUE,
2-10830492-6.html.csv,AC,TRUE,
2-17916431-2.html.csv,AC,TRUE,
1-29556461-9.html.csv,AR,TRUE,
2-15985025-2.html.csv,FM,FALSE,"additional rows + columns, minor change in values occasionally"
2-1171445-1.html.csv,AC,TRUE,
2-18183510-18.html.csv,AC,TRUE,
2-17941795-5.html.csv,AC,TRUE,
2-11449311-2.html.csv,AC,TRUE,one additional header row and other header repeated twice in gold version
2-16779943-2.html.csv,none,TRUE,
2-14013485-3.html.csv,AC,TRUE,and one additional row at the bottom
2-11772462-4.html.csv,AC,TRUE,
2-1672976-1.html.csv,FM,FALSE,Different values
2-10608850-2.html.csv,AC,TRUE,dates sometimes less specific in gold than in html/image
2-10806852-2.html.csv,none,TRUE,
2-17626681-8.html.csv,AC,TRUE,
2-13312898-52.html.csv,none,TRUE,
2-13870048-3.html.csv,AC,TRUE,
1-23286158-10.html.csv,AR,TRUE,
2-16351829-3.html.csv,none,TRUE,
2-18646220-4.html.csv,none,TRUE,
2-10826385-15.html.csv,none,TRUE,
2-11803648-22.html.csv,none,TRUE,
2-10773616-7.html.csv,none,TRUE,
2-10642140-3.html.csv,none,TRUE,
2-18130923-3.html.csv,BM,TRUE,"""+"" in gold but ""-"" in html"
1-27755603-10.html.csv,AR,TRUE,
1-23508196-5.html.csv,AR,TRUE,
2-14887186-1.html.csv,none,TRUE,
2-10808346-12.html.csv,none,TRUE,
2-1160735-1.html.csv,FM,FALSE,additional columns + different values in last column
2-17426846-5.html.csv,AC,TRUE,
2-16620096-1.html.csv,none,TRUE,
2-11938731-7.html.csv,AC,TRUE,
2-18501314-1.html.csv,AC,TRUE,
2-1219546-1.html.csv,AC,TRUE,
2-10809823-6.html.csv,none,TRUE,
2-16193559-1.html.csv,AC,TRUE,minor change in header; additional row at the bottom for sources
2-16514480-3.html.csv,BM,TRUE,"""+"" in gold but ""-"" in html"
2-14323347-2.html.csv,none,TRUE,
2-15100419-13.html.csv,none,TRUE,
2-17344651-1.html.csv,AC,TRUE,
2-16212384-2.html.csv,AC,TRUE,minor change in header; additional row at the bottom
1-26250145-1.html.csv,AR,TRUE,
2-18045035-18.html.csv,AC,TRUE,
2-15080761-3.html.csv,AC,TRUE,
2-13594823-1.html.csv,none,TRUE,
2-10866507-1.html.csv,none,TRUE,
2-10362070-3.html.csv,FM,FALSE,"additional columns and occasional mismatches in column ""result"""
1-25304789-1.html.csv,AR,TRUE,minor change in header (1849 and 18-49)
2-10790099-5.html.csv,none,TRUE,
2-14610267-2.html.csv,AR,TRUE,
2-17323092-8.html.csv,none,TRUE,
2-10263245-1.html.csv,FM,FALSE,"additional rows and columns; some missing values in 'round,time' column"
2-13244501-6.html.csv,AC,TRUE,
2-12817505-2.html.csv,AC,TRUE,
2-10696381-3.html.csv,FM,FALSE,additional row and columns; mismatches in column 'result''
2-18934536-1.html.csv,FM,FALSE,"different values, additional rows and columns"
2-1226543-6.html.csv,BM,FALSE,
2-17625749-2.html.csv,FM,FALSE,
2-11312764-5.html.csv,AC,TRUE,
2-13821848-1.html.csv,AC,TRUE,
2-16013858-7.html.csv,FM,FALSE,"rows in gold missing in html, rows in html missing in gold; additonal columns"
2-17624865-1.html.csv,none,TRUE,
2-13018091-1.html.csv,AC,TRUE,
2-14303579-16.html.csv,AC,TRUE,slightly different column name + one slightly different team name
2-10746808-4.html.csv,none,TRUE,
2-18078622-1.html.csv,none,TRUE,
2-14305802-4.html.csv,none,TRUE,
2-11128774-8.html.csv,AC,TRUE,
2-184806-1.html.csv,FM,TRUE,additional columns + change of order of columns
2-10885968-7.html.csv,none,TRUE,
2-10883333-20.html.csv,none,TRUE,
2-14020863-7.html.csv,AC,TRUE,
2-10746808-5.html.csv,none,TRUE,
2-10790397-6.html.csv,none,TRUE,
2-18624865-5.html.csv,AC,TRUE,
2-10722506-4.html.csv,AC,TRUE,
2-10061118-2.html.csv,FM,TRUE,"additional row + column, change of column order"
2-12901325-10.html.csv,AC,TRUE,
2-1221065-7.html.csv,FM,FALSE,"additional rows + columns, different values in 'winning score''"
2-1123329-2.html.csv,FM,FALSE,
2-15154539-6.html.csv,BM,TRUE,"one different value (replay instead of rematch), one different header name but contains same values"
2-18552926-7.html.csv,FM,FALSE,
2-11623598-1.html.csv,AC,TRUE,different column names but same contents
2-17382411-4.html.csv,AC,TRUE,
2-1756060-2.html.csv,AR,TRUE,addtional row above header
2-1140112-5.html.csv,AR,TRUE,
2-18698934-2.html.csv,AC,TRUE,
2-13844614-5.html.csv,AC,TRUE,header: 'loses' in gold and 'losses' in html
2-17370522-15.html.csv,none,TRUE,in column 'transfer fee' additional Â£ symbol in html
2-18947170-9.html.csv,AC,TRUE,and addtional row
2-11739153-3.html.csv,AC,TRUE,
2-18789596-2.html.csv,AC,TRUE,
2-12206056-8.html.csv,AC,TRUE,and one different value in row 153
1-28132970-5.html.csv,AR,TRUE,
2-1364343-4.html.csv,AR,TRUE,row above header
2-18096431-7.html.csv,BM,TRUE,minor changes in values ('-' instead of '+'; first two values in place column; $ sign in header)
2-16514480-5.html.csv,BM,TRUE,minor changes in values ('-' instead of '+'; $ sign in header)
2-17807292-5.html.csv,BM,TRUE, '-' instead of '+'
2-10779468-2.html.csv,FM,FALSE,
2-17262467-1.html.csv,AC,TRUE,different column names but same contents
2-17915-12.html.csv,none,TRUE,
2-16823523-9.html.csv,AC,TRUE,
2-12719328-2.html.csv,AC,TRUE,
2-11771022-8.html.csv,AC,TRUE,
2-13312898-28.html.csv,none,TRUE, '#' symbol in header in html
1-28210383-1.html.csv,FM,FALSE,
2-18553497-4.html.csv,AC,TRUE,
2-10766119-14.html.csv,none,TRUE,
2-12423174-1.html.csv,BM,FALSE,some rows in gold not in html
2-1546813-1.html.csv,AR,TRUE,
2-13298969-2.html.csv,AC,TRUE,and additional rows
2-17798269-8.html.csv,AC,TRUE,
2-11513647-4.html.csv,AC,TRUE,
2-18178551-1.html.csv,AC,TRUE,
2-15272646-6.html.csv,AC,TRUE,values: 'ITF' as prefix in tournament column in html
2-10257-5.html.csv,BM,TRUE,row above header in html: header repeated twice in gold; slight name change in competition column (meaning is the same)
2-1122973-1.html.csv,AC,FALSE,additional row below column for source; one different value in cell
2-11787570-4.html.csv,AR,TRUE,
2-169662-2.html.csv,FM,FALSE,
2-18674332-1.html.csv,none,TRUE,at' before opponent values in html
1-23466021-4.html.csv,BM,FALSE,addtional row and change in values of final scores
1-28051859-3.html.csv,BM,FALSE,
2-13955731-4.html.csv,AC,TRUE,@' before values in opponent column in html
2-15250161-2.html.csv,AC,TRUE,
2-14496392-1.html.csv,AR,TRUE,row above header
2-11173692-2.html.csv,FM,TRUE,change in order of columns
1-25551880-2.html.csv,AR,TRUE,
2-17142388-1.html.csv,AC,TRUE,
2-1861948-2.html.csv,none,TRUE, '#' symbol in header in html
2-15009679-7.html.csv,none,TRUE,
2-1140106-1.html.csv,AC,TRUE,
2-11221360-2.html.csv,AC,FALSE,different values in some cells
2-13566745-1.html.csv,AC,TRUE,
2-14860855-3.html.csv,AC,TRUE,